trial_number,value,state,task.classifier.dropout,task.fine_tuning.encoder_lr,task.fine_tuning.head_lr,task.fine_tuning.optimizer.weight_decay
0,0.35833333333333334,TrialState.COMPLETE,0.1,1e-05,0.0001,0.0001
1,0.3583333333333333,TrialState.COMPLETE,0.1766860748020888,1.4511111548679018e-05,0.0001830762789022826,7.38576732235817e-05
2,0.3666666666666667,TrialState.COMPLETE,0.3231345422006047,1.6302306110274296e-05,0.0002755100108275602,0.004268819285463842
3,0.3916666666666667,TrialState.COMPLETE,0.07992252874532976,1.718667948353359e-05,0.00012191048750505486,0.0008108457155051771
4,0.36666666666666664,TrialState.COMPLETE,0.3286724905371618,1.8932207239508877e-05,9.121812371454712e-05,0.0001395614170102056
5,0.3527777777777778,TrialState.COMPLETE,0.2788730256632279,1.5174115373883752e-05,0.00025764017986266454,3.464438344479318e-06
6,0.3527777777777778,TrialState.COMPLETE,0.33291515329481625,9.647778073664891e-06,0.0002426367429985843,0.008045293515204223
7,0.31666666666666665,TrialState.COMPLETE,0.26174608269458044,2.7099778054103317e-06,5.4527340924073675e-05,2.3392586414776597e-05
8,0.3888888888888889,TrialState.COMPLETE,0.10421990109908637,1.3166771740055134e-05,0.00012490299763696404,0.007917621291500665
9,0.4333333333333333,TrialState.COMPLETE,0.26395978795727476,1.705827635043124e-05,0.0002612533879325072,1.4941899384581658e-06
10,0.35555555555555557,TrialState.COMPLETE,0.18744007723952294,5.574565452867681e-06,0.000496477225181879,2.9567972023247702e-06
11,0.3527777777777778,TrialState.COMPLETE,0.24620185180001325,5.611307660941012e-06,0.00016259100708575187,0.0009081934035950096
