trial_number,value,state,task.classifier.dropout,task.linear_probing.optimizer.lr,task.linear_probing.optimizer.weight_decay
0,0.3527777777777778,TrialState.COMPLETE,0.1,0.001,0.0001
1,0.3611111111111111,TrialState.COMPLETE,0.3316728038609222,0.001150181177518929,5.844367409850232e-06
2,0.3444444444444445,TrialState.COMPLETE,0.1992528170871235,0.0007700325017902612,6.933449091465705e-05
3,0.33333333333333337,TrialState.COMPLETE,0.33486036357723586,0.0008219529626884878,8.157124294848824e-06
4,0.37499999999999994,TrialState.COMPLETE,0.09834151301820471,0.001500192529046214,0.0012159071982265307
5,0.30833333333333335,TrialState.COMPLETE,0.17548573071754692,0.00035321338864607383,0.002833857307153202
6,0.37777777777777777,TrialState.COMPLETE,0.10678908071499615,0.0016827177349253537,9.401262451667699e-06
7,0.31666666666666665,TrialState.COMPLETE,0.09028674330047848,0.00031432662686766273,0.0006885912928596193
8,0.33611111111111114,TrialState.COMPLETE,0.21948846837980757,0.0017077096206774042,1.4192145153809488e-06
9,0.3416666666666667,TrialState.COMPLETE,0.129281488437642,0.001117663773195514,0.0009042125297558116
10,0.35555555555555557,TrialState.COMPLETE,0.25571164255871726,0.002682018804196661,2.185203765870872e-05
11,0.3722222222222222,TrialState.COMPLETE,0.05109947231546061,0.0018904500850981999,0.007067873795302994
12,0.3583333333333333,TrialState.COMPLETE,0.13618175458790543,0.0017582898837199623,0.0004528742209688709
13,0.38888888888888884,TrialState.COMPLETE,0.05691358692603871,0.0027735970749549767,2.4324543610004965e-05
14,0.33055555555555555,TrialState.COMPLETE,0.05440555548697017,0.002936004485161469,2.1272513190689826e-05
15,0.3666666666666667,TrialState.COMPLETE,0.137366671174035,0.00218649133914045,1.4122932661833485e-06
