trial_number,value,state,task.classifier.dropout,task.classifier.mlp_hidden_dim,task.mlp_probing.optimizer.lr,task.mlp_probing.optimizer.weight_decay
0,0.35833333333333334,TrialState.COMPLETE,0.1,512,0.0007,0.0001
1,0.31666666666666665,TrialState.COMPLETE,0.28153931067594273,256,0.0010178209154577474,1.042223113705131e-06
2,0.3138888888888889,TrialState.COMPLETE,0.15183345912733046,256,0.0005084720676836827,8.886313090886158e-06
3,0.34444444444444444,TrialState.COMPLETE,0.13183651738623534,512,0.0003268312902592959,0.000944606071855363
4,0.36666666666666664,TrialState.COMPLETE,0.1629213665129876,256,0.0009320466521456033,9.459782865123016e-06
5,0.336111111111111,TrialState.COMPLETE,0.2908681754440965,256,0.0005037604668053864,3.834955147499543e-06
6,0.3555555555555555,TrialState.COMPLETE,0.31679996550626577,768,0.0012760821427927624,1.6794587784485464e-06
7,0.3333333333333333,TrialState.COMPLETE,0.20444591433375897,256,0.0013644957752860368,4.546713935715956e-05
8,0.3472222222222222,TrialState.COMPLETE,0.06200077993941453,768,0.00025882429360936485,3.7903055897833117e-06
9,0.33055555555555555,TrialState.COMPLETE,0.3486550995778381,768,0.00020354683603354324,1.7407592496397235e-06
10,0.3694444444444444,TrialState.COMPLETE,0.21839765685543125,256,0.0019618126877562134,0.007857743610700107
11,0.36388888888888893,TrialState.COMPLETE,0.21653078914146545,256,0.001846342809481701,0.008555267747832213
12,0.35,TrialState.COMPLETE,0.22823668972091243,256,0.0019013718770684769,0.0005893423341056146
13,0.3638888888888889,TrialState.COMPLETE,0.17658199586470116,256,0.0008817797390269672,1.9237840698710035e-05
14,0.3861111111111111,TrialState.COMPLETE,0.24067617293115023,256,0.0013722238220473298,0.008681884309344547
15,0.36944444444444446,TrialState.COMPLETE,0.25911936065095115,512,0.0014630778900401628,0.006935960657041715
