trial_number,value,state,task.classifier.dropout,task.fine_tuning.encoder_lr,task.fine_tuning.head_lr,task.fine_tuning.optimizer.weight_decay
0,0.9203125000000001,TrialState.COMPLETE,0.15,8e-06,8e-05,0.0001
1,0.9296875,TrialState.COMPLETE,0.24917279350649912,8.580381640826525e-06,0.0002758752175106341,4.176741267938282e-05
2,0.9359375,TrialState.COMPLETE,0.3441610493011138,1.0655342928537133e-05,0.00015309566956566174,0.004118177963244165
3,0.9,TrialState.COMPLETE,0.2906498549643009,1.6716574927346886e-06,4.000447125210823e-05,0.0005486528048017606
4,0.903125,TrialState.COMPLETE,0.3089859344369982,2.6500545756900594e-06,3.5802916677009446e-05,0.0029231550182769296
5,0.9296875,TrialState.COMPLETE,0.19755873472654634,5.892993052437516e-06,0.0003882993051897628,0.0011806102337927084
6,0.9296875,TrialState.COMPLETE,0.19142024427594573,8.595634248966755e-06,8.781925633759272e-05,2.4950074608008788e-06
7,0.915625,TrialState.COMPLETE,0.34234154109270126,1.7991014846315e-06,7.342585136829277e-05,0.002831073647137301
8,0.91875,TrialState.COMPLETE,0.2082200161563777,6.861796657295869e-06,0.00026421421712788916,6.732773367862679e-05
9,0.9078124999999999,TrialState.COMPLETE,0.24917413120368154,2.1235060563193573e-06,5.379496323418661e-05,0.00023855088970439487
