trial_number,value,state,task.classifier.dropout,task.linear_probing.optimizer.lr,task.linear_probing.optimizer.weight_decay
0,0.8859375,TrialState.COMPLETE,0.15,0.0008,0.0001
1,0.8875,TrialState.COMPLETE,0.27624489418992176,0.000380829809521602,0.004129651891592033
2,0.8890625,TrialState.COMPLETE,0.07594878240665882,0.00045016992013047734,0.003211417519093284
3,0.8890625,TrialState.COMPLETE,0.14195475467539773,0.0022872505415673107,0.0020431622667705517
4,0.89375,TrialState.COMPLETE,0.3122346189394779,0.0010722814366635356,2.3119213395435288e-05
5,0.8859375,TrialState.COMPLETE,0.21490341245375838,0.0002512772925540925,0.003805046537942262
6,0.8984375,TrialState.COMPLETE,0.11282829173908275,0.00041250222539162244,0.0011826528233164124
7,0.8953125,TrialState.COMPLETE,0.2023822210964617,0.0010511571989408719,0.003710021925704824
8,0.8921875,TrialState.COMPLETE,0.19122952708551771,0.0002730982470154769,8.325710618480321e-05
9,0.8796875,TrialState.COMPLETE,0.20363799432206792,0.00026357133392475887,0.005979500248513093
10,0.8859375,TrialState.COMPLETE,0.07176865932741122,0.0005314639140232683,1.0107872635972361e-06
11,0.8890625000000001,TrialState.COMPLETE,0.12139402091304997,0.0012847803404744344,0.0005695530792495665
12,0.890625,TrialState.COMPLETE,0.26978065992311184,0.0017446430107905299,0.0005911788272523278
13,0.8796875,TrialState.COMPLETE,0.232124093002266,0.0007388086262452375,0.0006127898334436399
