stage,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,val_cohen_kappa,val_auroc,val_auc_pr,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_cohen_kappa,learning_rate,epoch_time_sec,best_val_balanced_accuracy,best_test_balanced_accuracy,val_confusion_matrix,test_confusion_matrix
lp,0,0.721758778889974,0.5625,0.6205043792724609,0.7765625,0.7765625,0.7765183056219613,0.7765183056219614,0.553125,0.84486328125,0.7998289553837228,,,,,,,0.0002512772925540925,42.4321768283844,0.7765625,,"[[253, 67], [76, 244]]",
lp,1,0.6173030853271484,0.6729166666666667,0.5533531188964844,0.8421875,0.8421875,0.842177867301471,0.842177867301471,0.684375,0.9159228515625,0.8954163881133159,,,,,,,0.0002512772925540925,43.47964596748352,0.8421875,,"[[267, 53], [48, 272]]",
lp,2,0.574899419148763,0.7427083333333333,0.5027320861816407,0.8625,0.8625,0.8622726961489177,0.8622726961489178,0.725,0.940205078125,0.9353722746809722,,,,,,,0.0002512772925540925,42.89329409599304,0.8625,,"[[263, 57], [31, 289]]",
lp,3,0.535691515604655,0.784375,0.4652396202087402,0.8859375,0.8859375,0.8859372215264197,0.8859372215264198,0.771875,0.949794921875,0.9495882937732955,,,,,,,0.0002512772925540925,44.406758069992065,0.8859375,,"[[283, 37], [36, 284]]",
lp,4,0.49882710774739586,0.8,0.4345597267150879,0.86875,0.8687499999999999,0.868421052631579,0.868421052631579,0.7375,0.9544775390625,0.9566221089342675,,,,,,,0.0002512772925540925,6.7382917404174805,0.8859375,,"[[262, 58], [26, 294]]",
lp,5,0.48312152226765953,0.7947916666666667,0.4139726638793945,0.8703125,0.8703125,0.8700812725774144,0.8700812725774144,0.740625,0.95541015625,0.9585699372590835,,,,,,,0.0002512772925540925,8.02252745628357,0.8859375,,"[[265, 55], [28, 292]]",
lp,6,0.46860790252685547,0.8114583333333333,0.39620046615600585,0.8796875,0.8796875,0.8796213740458015,0.8796213740458014,0.759375,0.9574853515624999,0.961701459332199,,,,,,,0.0002512772925540925,7.880013465881348,0.8859375,,"[[274, 46], [31, 289]]",
lp,7,0.450969664255778,0.8229166666666666,0.38204474449157716,0.875,0.875,0.8748778103616813,0.8748778103616812,0.75,0.9581005859375,0.9625175944072303,,,,,,,0.0002512772925540925,6.862841606140137,0.8859375,,"[[270, 50], [30, 290]]",
lp,8,0.44262803395589195,0.8291666666666667,0.37607269287109374,0.875,0.875,0.8748778103616813,0.8748778103616812,0.75,0.958525390625,0.9632726594313805,,,,,,,0.00012563864627704625,6.828522682189941,0.8859375,,"[[270, 50], [30, 290]]",
lp,9,0.4309486071268717,0.8291666666666667,0.3698276519775391,0.875,0.875,0.8748778103616813,0.8748778103616812,0.75,0.9589404296875,0.9638470660520522,,,,,,,0.00012563864627704625,6.642781734466553,0.8859375,,"[[270, 50], [30, 290]]",
lp,10,0.43204441070556643,0.828125,0.36547412872314455,0.878125,0.878125,0.8780285186524497,0.8780285186524497,0.75625,0.9589355468749999,0.9639369523676191,,,,,,,0.00012563864627704625,6.721529722213745,0.8859375,,"[[272, 48], [30, 290]]",
