trial_number,value,state,task.classifier.dropout,task.fine_tuning.encoder_lr,task.fine_tuning.head_lr,task.fine_tuning.optimizer.weight_decay
0,0.3933333333333333,TrialState.COMPLETE,0.1,5e-06,5e-05,0.0001
1,0.4222222222222222,TrialState.COMPLETE,0.2348411197626708,1.226140740110286e-06,2.289169733262616e-05,5.713702525536002e-05
2,0.43555555555555553,TrialState.COMPLETE,0.2074662667109422,1.7296256273525447e-06,5.1634273195154156e-05,0.0011674975458081493
3,0.3666666666666667,TrialState.COMPLETE,0.21643174373824647,4.644568635699663e-06,3.2780142453010496e-05,8.750945852688758e-06
4,0.43333333333333335,TrialState.COMPLETE,0.2365822226679985,3.3374297807908154e-06,5.6481588301181584e-05,3.3267004561794124e-05
5,0.3688888888888889,TrialState.COMPLETE,0.2580731288676174,5.022058199635905e-06,5.378001144548636e-05,0.007685907007720574
6,0.39999999999999997,TrialState.COMPLETE,0.2317997481063645,4.865410341882646e-06,2.1389679389387482e-05,0.0007757801141208622
7,0.41333333333333333,TrialState.COMPLETE,0.07489752453861485,1.6802507985067767e-06,2.4192566440997553e-05,0.0013361291270293952
8,0.42,TrialState.COMPLETE,0.23850449085962916,3.757187099838373e-06,9.092482778781248e-05,0.004676549750719472
9,0.41999999999999993,TrialState.COMPLETE,0.07551681947325027,1.0066806534978907e-06,7.275444632880026e-05,2.702309734108901e-06
