trial_number,value,state,task.classifier.dropout,task.linear_probing.optimizer.lr,task.linear_probing.optimizer.weight_decay
0,0.43333333333333335,TrialState.COMPLETE,0.1,0.0008,0.0001
1,0.4177777777777778,TrialState.COMPLETE,0.21707178754122847,0.00020177681518138233,6.61202478093159e-05
2,0.4177777777777778,TrialState.COMPLETE,0.23331257439502157,0.0004462336803915297,0.001192004371998779
3,0.41111111111111115,TrialState.COMPLETE,0.0562384712899774,0.0002512585292690181,0.0003533045077105738
4,0.4155555555555555,TrialState.COMPLETE,0.09711224148770413,0.0014776671793247517,1.0591579169645149e-05
5,0.4088888888888889,TrialState.COMPLETE,0.10790454017282956,0.0002186632545685179,0.002406762136730324
6,0.4066666666666667,TrialState.COMPLETE,0.2073936814105497,0.0005560456817437602,6.8503695975765866e-06
7,0.4222222222222222,TrialState.COMPLETE,0.22623939513751468,0.0004902923609397365,0.0002136936698541141
8,0.42,TrialState.COMPLETE,0.23989922011070614,0.0012592390514079782,1.0558329775160389e-05
9,0.4177777777777778,TrialState.COMPLETE,0.25744593800599586,0.0012771843195014483,1.6518208159482886e-05
10,0.4066666666666667,TrialState.COMPLETE,0.1523707567383406,0.0009511179023227167,0.007914944966155569
11,0.42444444444444446,TrialState.COMPLETE,0.2867422256052098,0.0007721294646086809,0.0001130452672207733
12,0.4066666666666667,TrialState.COMPLETE,0.28648552115940246,0.0008250934646671456,5.8974337131923284e-05
13,0.41111111111111115,TrialState.COMPLETE,0.15750038667693508,0.0007599426163214059,2.30539731951518e-06
14,0.4222222222222222,TrialState.COMPLETE,0.29444530702250965,0.00033910500785191093,0.00029892678507558454
15,0.42444444444444446,TrialState.COMPLETE,0.11652393270893525,0.0018477587184754622,5.163965264960961e-05
