trial_number,value,state,task.classifier.dropout,task.classifier.mlp_hidden_dim,task.mlp_probing.optimizer.lr,task.mlp_probing.optimizer.weight_decay
0,0.42,TrialState.COMPLETE,0.1,512,0.0006,0.0001
1,0.4177777777777778,TrialState.COMPLETE,0.18016338796811632,768,0.00024548879884272003,0.0005854431762929512
2,0.41111111111111115,TrialState.COMPLETE,0.20470081507243137,1024,0.001147695494153194,0.0008426657957194269
3,0.43111111111111117,TrialState.COMPLETE,0.1365765352178242,256,0.0008286338819313507,0.002591043324594435
4,0.42444444444444446,TrialState.COMPLETE,0.12235130031313855,256,0.0005483543899821405,0.003725546120075889
5,0.42,TrialState.COMPLETE,0.26293867756741685,1024,0.001482579980663564,4.325957108302895e-05
6,0.42,TrialState.COMPLETE,0.08358768544972546,1024,0.000763503930691862,0.002301463250809501
7,0.42,TrialState.COMPLETE,0.0599513992697278,512,0.0011048004058721158,0.0007972352627841465
8,0.4177777777777778,TrialState.COMPLETE,0.14370196446109368,256,0.00037429805233115944,3.6014914050308503e-05
9,0.40888888888888886,TrialState.COMPLETE,0.1869516201439257,512,0.0005975697312549939,9.985183368084192e-06
10,0.42444444444444446,TrialState.COMPLETE,0.29459712901555934,256,0.00032668847435601204,0.00873216471788749
11,0.41111111111111115,TrialState.COMPLETE,0.12814969467197143,256,0.0007648079471184271,0.009714327997837974
12,0.4155555555555555,TrialState.COMPLETE,0.13831245547966697,256,0.0004131754548718516,2.7225453402732858e-06
13,0.4155555555555555,TrialState.COMPLETE,0.22120074891331898,256,0.0008300369381476872,0.0023770577669425135
