trial_number,value,state,task.classifier.dropout,task.linear_probing.optimizer.lr,task.linear_probing.optimizer.weight_decay
0,0.5426801995806056,TrialState.COMPLETE,0.1,0.0005,0.0001
1,0.5233530549854897,TrialState.COMPLETE,0.13541101212125117,0.00011095916917921472,7.46744458685872e-05
2,0.5497985323687075,TrialState.COMPLETE,0.10870320071941729,0.000951595459685354,7.293969086212406e-06
3,0.5253913715857135,TrialState.COMPLETE,0.06505291827973206,0.0001232752490677167,0.0012232172258403022
4,0.5378062394644114,TrialState.COMPLETE,0.1405944415039999,0.0005575346765640286,0.003426589937608297
5,0.5352684407580373,TrialState.COMPLETE,0.1282005559012857,0.0003835967891057871,0.0002678492529918789
6,0.5340310834211214,TrialState.COMPLETE,0.1983571700333281,0.00035442312452528167,0.00041935528586200345
7,0.5371673829723117,TrialState.COMPLETE,0.1826402790802542,0.0002722982074187205,2.3257351683114507e-06
8,0.5195405106036594,TrialState.COMPLETE,0.07618051724056352,0.00011943026965805295,0.003954471226860824
9,0.54005035518561,TrialState.COMPLETE,0.06010392808006196,0.0002947940513664184,6.904986703076375e-06
